hood_T,other_T,color,shade ,finish,make,model,cloudiness,license,state,comments,"Group, Name",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
169.8,,,,,,,,,,,,
169.1,,,,,,,,,,,,
119.9,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
127,115,silver,n,gloss,Hatchback,Honda,None,Az,Ccx20,Handicapped,Jake,
149,134,Red,n,gloss,Suv,Dodge,None,Jk8869,Az,,Jake,
131,111,White,n,gloss,Truck,Chevy,None,Bbn7016,Az,,Jake,
176,164,Dark blue,n,gloss,Sedan,Mazda,None,Bng8131,Az,,Jake,
153,159,Black,n,gloss,Prius,Toyota,None,Cbe9396,Az,,Jake,
173,139,Green,n,gloss,Cherokee ,Jeep,None,629trd,Az,,Jake,
96,94,black,y,gloss,truck,ford,None,boxnref,az,Custom license,Jake,
93,92,white,y,gloss,prius,toyota,None,bhj1760,az,,Jake,
91,91,yellow,y,gloss,bug,VW,None,6lug005,ca,,Jake,
124,95,white,y,gloss,truck,toyota,None,79548j1,ca,,Jake,
92,91,White,Y,gloss,Wrangler,jeep,None,Bts4451,Az,,Jake,
90,90,red,Y,gloss,Hatchback,Ford,None,Cca9855,az,,Jake,
91,90,White,Y,gloss,Bug,VW,None,Bnf9074,Az,,Jake,
91,90,black,y,gloss,sedan,mazda,None,Asj0874,Wa,,Jake,
92,91,blue,y,gloss,sedan,subaru,None,8bhb184,Id,,Jake,
91,91,black,y,gloss,liberty,jeep,None,you542,Co,,Jake,
92,92,gray,y,gloss,cr-z,honda,None,brm8677,az,,Jake,
101,90,silver,y,gloss,convertable,nissan,None,cgl7666,az,,Jake,
95,90,black,y,gloss,sedan,audi,None,bex9313,az,,Jake,
96,90,beige,y,gloss,tacoma,toyota,None,p2632,az,arizona A license,Jake,
95,91,Red,y,gloss,sedan,toyota,None,chj7198,az,,Jake,
94,91,Orange,Y,gloss,Element,Honda,None,Bth1917,Az,,Jake,
92,92,Black,Y,gloss,Smart,Smart,None,Ccw3334,Az,,Jake,
100,91,Gray,Y,gloss,Sport,Ford,None,Hfd5333,Tx,,Jake,
91,91,Green,Y,gloss,Soul,Kia,None,Cfn8868,Az,,Jake,
106,111,Beige,Y,gloss,Outback,Subaru,None,Cef3979,Az,,Jake,
128,93,Gray,Y,gloss,Sedan,BMW ,None,774vpq,Co,,Jake,
98,91,blue,y,gloss,Cooper,Mini,None,cba8107,az,,Jake,
99,91,gray,y,gloss,sedan,honda,None,b96mh,mi,,Jake,
97,92,black,y,gloss,tahoe,chevy,None,cfb961,ok,,Jake,
97,91,Gray,Y,gloss,Tiguan,VW ,None,959xrd,Ak,,Jake,
96,91,Orange,Y,gloss,Crosstrek,Subaru,None,4de1367,Md,,Jake,
140,111,White,N,Worn,Large truck,Large truck,None,G164dm,Az,,Jake,
,,,,,,,,,,,,
,,,,,,,,,,,,
94.2,93.6,Dark Grey,Yes,,Ford ,F150,No,No Bull,,,3rd Floor (Dan),
